rank,location,total_violations,hotspot_score,severity
594,"45th Cross Road, Banashankari Bus Stand Junction, JP Nagar Phase 1, Bengaluru, Karnataka. Pin-560070 (India)",88,2.15,MEDIUM
595,"1st Cross Road, Nada Prabhu Kempegowda Circle, New Thippasandra, Bengaluru, Karnataka. Pin-560075 (India)",88,2.15,MEDIUM
596,"J Lingaiah Road, Shree MG Seshadri Circle, Seshadripuram, Bengaluru, Karnataka. Pin-560020 (India)",88,2.15,MEDIUM
597,"10th A Cross Road, Block 1, Rajaji Nagar, Bengaluru, Karnataka. Pin-560010 (India)",88,2.15,MEDIUM
598,"Kalasipalyam Main Road, Basappa Circle, VV Puram, Bengaluru, Karnataka. Pin-560004 (India)",87,2.13,MEDIUM
599,"1st Cross Road, Block 7, Koramangala, Bengaluru, Karnataka. Pin-560095 (India)",87,2.13,MEDIUM
600,"1st Main Road, Sadduguntepalya, Bengaluru, Karnataka. Pin-560029 (India)",87,2.13,MEDIUM
601,"Cronwell Road, Langford Garden, Richmond Town, Bengaluru, Karnataka. Pin-560025 (India)",87,2.13,MEDIUM
602,"Old Madras Road, Ramayya Circle, Halasuru, Bengaluru, Karnataka. Pin-560008 (India)",87,2.13,MEDIUM
603,"Palace Road, Maharani College Junction, Gandhi Nagar, Bengaluru, Karnataka. Pin-560009 (India)",87,2.13,MEDIUM
604,"Old Airport Road, Attimaramma Circle, Domlur, Bengaluru, Karnataka. Pin-560071 (India)",86,2.1,MEDIUM
605,"Bannerghatta Main Road, Royal Meenakshi Mall, Hulimavu, Bengaluru, Karnataka. Pin-560076 (India)",86,2.1,MEDIUM
606,"2nd Cross Road, Block 2, Armane Nagar, Bengaluru, Karnataka. Pin-560094 (India)",86,2.1,MEDIUM
607,"5th Cross Road, Harikara Vidvan Sri R Gururajulu Naidu Circle, Rajaji Nagar, Bengaluru, Karnataka. Pin-560010 (India)",86,2.1,MEDIUM
608,"HAL Airport Road, Ashwath Nagar, Marathahalli, Bengaluru, Karnataka. Pin-560037 (India)",86,2.1,MEDIUM
609,"Hospital Road, Mysore Bank Circle, Chickpete, Bengaluru, Karnataka. Pin-560009 (India)",86,2.1,MEDIUM
610,"5th Cross Road, Mariappanapalya, Prakash Nagar, Bengaluru, Karnataka. Pin-560021 (India)",85,2.08,MEDIUM
611,"5th Main Road, Kodihalli, Bengaluru, Karnataka. Pin-560008 (India)",85,2.08,MEDIUM
612,"Dharmambudi Kere Road, Kempe Gowda Circle, Gandhi Nagar, Bengaluru, Karnataka. Pin-560009 (India)",85,2.08,MEDIUM
613,"JJR Main Road, JJR Nagar Circle, JJR Nagar North, Bengaluru, Karnataka. Pin-560018 (India)",85,2.08,MEDIUM
614,"Chinmaya Mission Hospital Road, Stage 2, Indiranagar, Bengaluru, Karnataka. Pin-560038 (India)",85,2.08,MEDIUM
615,"Outer Ring Road, Sajapur Junction, Bellandur, Bengaluru, Karnataka. Pin-560102 (India)",85,2.08,MEDIUM
616,"Hesaraghatta Main Road, Defence Colony, Bagalagunte, Bengaluru, Karnataka. Pin-560073 (India)",84,2.05,MEDIUM
617,"JJR Main Road, Obleshwar Colony, JJR Nagar South, Bengaluru, Karnataka. Pin-560018 (India)",84,2.05,MEDIUM
618,"Slaughterhouse Road, Tasker Town, Shivaji Nagar, Bengaluru, Karnataka. Pin-560001 (India)",83,2.03,MEDIUM
619,"Nallurahalli Road, SV Mayfair, Whitefield, Bengaluru, Karnataka. Pin-560066 (India)",83,2.03,MEDIUM
620,"RMZ Ecospace Internal Road, RMZ Ecospace Business Park, Bellandur, Bengaluru, Karnataka. Pin-560103 (India)",83,2.03,MEDIUM
621,"Kadidal Manjappa Road, Bheemanna Garden, Shanti Nagar, Bengaluru, Karnataka. Pin-560027 (India)",83,2.03,MEDIUM
622,"Dr Rajkumar Puniya Bhoomi Road, Nagarabavi Circle, Chandra Layout Stage 1, Bengaluru, Karnataka. Pin-560072 (India)",83,2.03,MEDIUM
623,"11th Cross Road, Laxmaiah Block, Ganga Nagar, Bengaluru, Karnataka. Pin-560024 (India)",83,2.03,MEDIUM
624,"Madiwala Underpass, Madiwala Junction, Madivala, Bengaluru, Karnataka. Pin-560068 (India)",83,2.03,MEDIUM
625,"Lalbagh Main Road, Pride Hulkul, Vinoba Nagar, Kalasipalyam, Bengaluru, Karnataka. Pin-560027 (India)",82,2.0,MEDIUM
626,"Magadi Main Road, Pattanagere Nagar, Sunkadakatte, Bengaluru, Karnataka. Pin-560091 (India)",82,2.0,MEDIUM
627,"2nd Main Road, Phoenix Marketcity, Dyavasandra Industrial Estate Phase 2, Mahadevapura, Bengaluru, Karnataka. Pin-560048 (India)",82,2.0,MEDIUM
628,"Hebbal Flyover, Hebbal, Bengaluru, Karnataka. Pin-560024 (India)",82,2.0,MEDIUM
629,"Cubbon Road, Coffee Board Junction, Vasant Nagar, Bengaluru, Karnataka. Pin-560001 (India)",82,2.0,MEDIUM
630,"Madiwala Market Street, FSL Quarters, Koramangala, Bengaluru, Karnataka. Pin-560034 (India)",81,1.98,MEDIUM
631,"H Siddiah Road, Narayanpura, Wilson Garden, Bengaluru, Karnataka. Pin-560030 (India)",81,1.98,MEDIUM
632,"Padmabhushan Dr RK Srikantan Road, Risaldar Colony, Seshadripuram, Bengaluru, Karnataka. Pin-560020 (India)",81,1.98,MEDIUM
633,"Promenade Road, Pulikeshi Nagar, Frazer Town, Bengaluru, Karnataka. Pin-560005 (India)",81,1.98,MEDIUM
634,"Sarjapura Main Road, Divyasree Elan Homes, Bellandur, Bengaluru, Karnataka. Pin-560103 (India)",81,1.98,MEDIUM
635,"Infantry Road, Coffee Board Junction, Vasant Nagar, Bengaluru, Karnataka. Pin-560001 (India)",81,1.98,MEDIUM
636,"Coles Road, Ranka D Paradise, Frazer Town, Bengaluru, Karnataka. Pin-560005 (India)",81,1.98,MEDIUM
637,"SP Road, Thigalarpet, Nagartapete, Bengaluru, Karnataka. Pin-560002 (India)",81,1.98,MEDIUM
638,"10th Main Road, P&T Colony, RT Nagar, Bengaluru, Karnataka. Pin-560032 (India)",81,1.98,MEDIUM
639,"Domlur Inner Ring Road, Baba Saheb Colony, HAL Stage 2, Indiranagar, Bengaluru, Karnataka. Pin-560008 (India)",80,1.96,MEDIUM
640,"Chord Road, Dhobi Ghat Junction, Rajaji Nagar, Bengaluru, Karnataka. Pin-560010 (India)",80,1.96,MEDIUM
641,"Mahatma Gandhi Road, Cauvery Junction, Shanthala Nagar, Bengaluru, Karnataka. Pin-560001 (India)",80,1.96,MEDIUM
642,"Millers Road, Safina Tower, Vasant Nagar, Bengaluru, Karnataka. Pin-560001 (India)",80,1.96,MEDIUM
643,"Sri ML Subbaraju Road, Walton Road Circle, Shanthala Nagar, Bengaluru, Karnataka. Pin-560001 (India)",79,1.93,MEDIUM
644,"Sri DV Gundappa Road, Kallappa Block, Basavanagudi, Bengaluru, Karnataka. Pin-560004 (India)",79,1.93,MEDIUM
645,"2nd Main Road, Shree MG Seshadri Circle, Seshadripuram, Bengaluru, Karnataka. Pin-560020 (India)",79,1.93,MEDIUM
646,"Mysore Road, Deepanjali Nagar, Bengaluru, Karnataka. Pin-560026 (India)",79,1.93,MEDIUM
647,"Hosur Road, Market Square Value Mall, Block 2, Koramangala, Bengaluru, Karnataka. Pin-560034 (India)",79,1.93,MEDIUM
648,"Arumugam Mudaliar Road, Mothinagar, Kalasipalyam, Bengaluru, Karnataka. Pin-560002 (India)",79,1.93,MEDIUM
649,"BSR Paradise Road, Prestige Sunnyside Oak, Bhoganahalli, Bengaluru, Karnataka. Pin-560103 (India)",79,1.93,MEDIUM
650,"G Narayana Kumar Road, Police Quarters, Cholurpalya, Bengaluru, Karnataka. Pin-560023 (India)",79,1.93,MEDIUM
651,"Sri Narasimha Raj Wadiyar Road, Shoukath Mohalla, Nagartapete, Bengaluru, Karnataka. Pin-560002 (India)",79,1.93,MEDIUM
652,"Sri Vinayaka Temple Road, Shri Vinayaka Circle, Jayanagar, Bengaluru, Karnataka. Pin-560011 (India)",79,1.93,MEDIUM
653,"Dr Rajkumar Puniya Bhoomi Road, Gorguntepalya Junction, Yeshwanthpur, Bengaluru, Karnataka. Pin-560022 (India)",78,1.91,MEDIUM
654,"Hosur Road, Krishna Reddy Industrial Area, Garvebhavi Palya, Bengaluru, Karnataka. Pin-560068 (India)",78,1.91,MEDIUM
655,"Chord Road, Star Circle, Rajaji Nagar, Bengaluru, Karnataka. Pin-560010 (India)",78,1.91,MEDIUM
656,"2nd Cross Road, Valliappa Nagar, Bengaluru, Karnataka. Pin-560001 (India)",78,1.91,MEDIUM
657,"8th Main Road, JJR Nagar Circle, JJR Nagar North, Bengaluru, Karnataka. Pin-560018 (India)",78,1.91,MEDIUM
658,"Madhavaraya Mudaliar Road, Puttanna Junction, Frazer Town, Bengaluru, Karnataka. Pin-560005 (India)",77,1.88,MEDIUM
659,"Devarabisanahalli Road, Shilpitha Tech Park, Kariyammana Agrahara, Bengaluru, Karnataka. Pin-560103 (India)",77,1.88,MEDIUM
660,"Sri B Gangaiah Road, Shivanahalli Junction, Rajaji Nagar, Bengaluru, Karnataka. Pin-560010 (India)",77,1.88,MEDIUM
661,"Professor K Venkatachalam Circle, Venkatachalam Circle, Sivanchetti Gardens, Bengaluru, Karnataka. Pin-560042 (India)",77,1.88,MEDIUM
662,"Kadidal Manjappa Road, Vaswani Centropolis, Bheemanna Garden, Shanti Nagar, Bengaluru, Karnataka. Pin-560027 (India)",77,1.88,MEDIUM
663,"1st Cross Road, Ranka Court, Halasuru, Bengaluru, Karnataka. Pin-560008 (India)",77,1.88,MEDIUM
664,"1st Cross Road, Shoukath Mohalla, Nagartapete, Bengaluru, Karnataka. Pin-560002 (India)",77,1.88,MEDIUM
665,"18th Cross Road, Sarangapani, Malleshwaram West, Bengaluru, Karnataka. Pin-560055 (India)",77,1.88,MEDIUM
666,"Wheeler Road, Sindhi Colony, Cox Town, Bengaluru, Karnataka. Pin-560005 (India)",77,1.88,MEDIUM
667,"PR Lane, Shoukath Mohalla, Nagartapete, Bengaluru, Karnataka. Pin-560002 (India)",76,1.86,MEDIUM
668,"Millers Road, Kaverappa Layout, Vasant Nagar, Bengaluru, Karnataka. Pin-560001 (India)",76,1.86,MEDIUM
669,"Padmasri CK Venkata Ramaiah Road, MS Ramaiah Hospital Junction, RMV Stage 2, Bengaluru, Karnataka. Pin-560094 (India)",76,1.86,MEDIUM
670,"Queens Road, Coffee Board Junction, Vasant Nagar, Bengaluru, Karnataka. Pin-560001 (India)",76,1.86,MEDIUM
671,"1st Cross Road, Jeevan Bima Nagar, Bengaluru, Karnataka. Pin-560075 (India)",76,1.86,MEDIUM
672,"7th Main Road, JJR Nagar Circle, JJR Nagar North, Bengaluru, Karnataka. Pin-560018 (India)",76,1.86,MEDIUM
673,"Amrutha College Road, Confident Phoenix, Haralur, Bengaluru, Karnataka. Pin-560035 (India)",76,1.86,MEDIUM
674,"1st Cross Road, Vinoba Nagar, Kalasipalyam, Bengaluru, Karnataka. Pin-560027 (India)",76,1.86,MEDIUM
675,"Haji Ibrahim Sahib Road, Quadrant Square, Shivaji Nagar, Bengaluru, Karnataka. Pin-560051 (India)",76,1.86,MEDIUM
676,"5th A Main Road, Vinayaka Nagar, Hebbal, Bengaluru, Karnataka. Pin-560024 (India)",76,1.86,MEDIUM
677,"20th Main Road, UCO Bank Junction, Koramangala, Bengaluru, Karnataka. Pin-560095 (India)",75,1.83,MEDIUM
678,"P&T Road, KPTCL Quarters, Block 2, Rajaji Nagar, Bengaluru, Karnataka. Pin-560010 (India)",75,1.83,MEDIUM
679,"Outer Ring Road, Embassy Tech Village, Devara Beesana Halli, Bengaluru, Karnataka. Pin-560103 (India)",75,1.83,MEDIUM
680,"Cronwell Road, Vaswani Centropolis, Bheemanna Garden, Shanti Nagar, Bengaluru, Karnataka. Pin-560027 (India)",75,1.83,MEDIUM
681,"Mysore Road, Hosaguddadahalli, New Guddadahalli, Bengaluru, Karnataka. Pin-560026 (India)",75,1.83,MEDIUM
682,"Veera Pillai Street, Quadrant Square, Shivaji Nagar, Bengaluru, Karnataka. Pin-560051 (India)",75,1.83,MEDIUM
683,"Chikkabellanduru Road, Ram Circle, Hadosiddapura, Bengaluru, Karnataka. Pin-560035 (India)",75,1.83,MEDIUM
684,"South End Road, Mill Corner Junction, Seshadripuram, Bengaluru, Karnataka. Pin-560020 (India)",75,1.83,MEDIUM
685,"Siddhapura Road, Siddapura Circle, Mavalli, Bengaluru, Karnataka. Pin-560004 (India)",74,1.81,MEDIUM
686,"Panathur Main Road, Indiqube Alpha, Reddy Layout, Kadubisanahalli, Bengaluru, Karnataka. Pin-560103 (India)",74,1.81,MEDIUM
687,"Padmabhushan Dr MC Modi Road, Bhimajyothi LIC Colony, Basaveshwara Nagar, Bengaluru, Karnataka. Pin-560079 (India)",74,1.81,MEDIUM
688,"Dhanvanthri Road, Majestic, Bengaluru, Karnataka. Pin-560023 (India)",74,1.81,MEDIUM
689,"1st Main Road, Renaissance Temple Apartment, Yeshwanthpur Suburb Stage 2, Yeshwanthpur, Bengaluru, Karnataka. Pin-560022 (India)",74,1.81,MEDIUM
690,"Shri Ramalingeshwara Cave Temple Road, Hulimavu, Bengaluru, Karnataka. Pin-560076 (India)",74,1.81,MEDIUM
691,"5th Cross Road, Malleshwaram Circle, Malleshwaram, Bengaluru, Karnataka. Pin-560003 (India)",74,1.81,MEDIUM
692,"Aruna Chouhan Muduar Road, Quadrant Square, Shivaji Nagar, Bengaluru, Karnataka. Pin-560051 (India)",74,1.81,MEDIUM
693,"Sri Narasimha Raj Wadiyar Road, Town Hall Junction, Nagartapete, Bengaluru, Karnataka. Pin-560002 (India)",74,1.81,MEDIUM
694,"5th Cross Road, R Subanna Circle, Gandhi Nagar, Bengaluru, Karnataka. Pin-560001 (India)",74,1.81,MEDIUM
695,"10th Main Road, ESI Hospital Junction, Rajaji Nagar, Bengaluru, Karnataka. Pin-560010 (India)",74,1.81,MEDIUM
696,"27th Main Road, HSR Layout 27th Main Junction, HSR Layout, Bengaluru, Karnataka. Pin-560102 (India)",73,1.78,MEDIUM
697,"Jayamahal Main Road, Munireddypalya, JC Nagar, Bengaluru, Karnataka. Pin-560006 (India)",73,1.78,MEDIUM
698,"Coles Road, Pulikeshi Nagar, Frazer Town, Bengaluru, Karnataka. Pin-560005 (India)",73,1.78,MEDIUM
699,"Dr Rajkumar Puniya Bhoomi Road, FTI Junction, Nandini Layout, Bengaluru, Karnataka. Pin-560096 (India)",73,1.78,MEDIUM
700,"Outer Ring Road, Featherlite The Address, Kadubisanahalli, Bengaluru, Karnataka. Pin-560103 (India)",72,1.76,MEDIUM
701,"Whitefield Road, Harman Campus, EOIZ Industrial Area, Whitefield, Bengaluru, Karnataka. Pin-560066 (India)",72,1.76,MEDIUM
702,"80 Feet Ring Road, Gubbanna Industrial Estate, Block 6, Rajaji Nagar, Bengaluru, Karnataka. Pin-560010 (India)",72,1.76,MEDIUM
703,"12th Main Road, Sony World Junction, Indiranagar, Bengaluru, Karnataka. Pin-560008 (India)",71,1.74,MEDIUM
704,"C Chowdappa Main Road, Hoshalli, Padarayanapura, Bengaluru, Karnataka. Pin-560026 (India)",71,1.74,MEDIUM
705,"2nd Main Road, Kasturi Nagar, Banaswadi, Bengaluru, Karnataka. Pin-560043 (India)",71,1.74,MEDIUM
706,"20th Main Road, GEF Block, Industrial Town, Rajaji Nagar, Bengaluru, Karnataka. Pin-560010 (India)",71,1.74,MEDIUM
707,"Major T Ramachandrappa Road, Majestic, Bengaluru, Karnataka. Pin-560023 (India)",71,1.74,MEDIUM
708,"9th Main Road, Sector 7, HSR Layout, Bengaluru, Karnataka. Pin-560102 (India)",71,1.74,MEDIUM
709,"Jewellers Street, Tasker Town, Shivaji Nagar, Bengaluru, Karnataka. Pin-560001 (India)",71,1.74,MEDIUM
710,"4th Main Road, The Junction, Indiranagar, Bengaluru, Karnataka. Pin-560008 (India)",71,1.74,MEDIUM
711,"North Park Road, Sri Katan Layout, Seshadripuram, Bengaluru, Karnataka. Pin-560001 (India)",71,1.74,MEDIUM
712,"BTS Bus Station Road, Majestic, Bengaluru, Karnataka. Pin-560023 (India)",71,1.74,MEDIUM
713,"SP Road, Dodpete, Nagartapete, Bengaluru, Karnataka. Pin-560002 (India)",70,1.71,MEDIUM
714,"Bellary Road, Suraj Homes, Hebbal, Bengaluru, Karnataka. Pin-560092 (India)",70,1.71,MEDIUM
715,"Bannerghatta Main Road, Vijay Shree Layout, Hulimavu, Bengaluru, Karnataka. Pin-560076 (India)",70,1.71,MEDIUM
716,"1st Cross Road, GD Mara Slum, BTM Layout Stage 2, Bengaluru, Karnataka. Pin-560076 (India)",70,1.71,MEDIUM
717,"Old Tharagupete Cross Road, Suraj Junction, Chickpete, Bengaluru, Karnataka. Pin-560002 (India)",70,1.71,MEDIUM
718,"Domlur Inner Ring Road, Stage 2, Domlur, Bengaluru, Karnataka. Pin-560071 (India)",70,1.71,MEDIUM
719,"Mims Gulmohar Road, Gulmohar, Whitefield, Bengaluru, Karnataka. Pin-560066 (India)",70,1.71,MEDIUM
720,"Shivashankara Road, Begum Mahal Junction, Halasuru, Bengaluru, Karnataka. Pin-560008 (India)",70,1.71,MEDIUM
721,"80 Feet Ring Road, Dr Rajkumar Road 10th Cross Junction, Rajaji Nagar, Bengaluru, Karnataka. Pin-560010 (India)",70,1.71,MEDIUM
722,"ITPL Main Road, Sattva Knowledge Court, Kundalhalli, Bengaluru, Karnataka. Pin-560048 (India)",70,1.71,MEDIUM
723,"Hosahalli Main Road, Hunasamaranahalli, Bengaluru, Karnataka. Pin-562157 (India)",69,1.69,MEDIUM
724,"Sarjapura Main Road, Srinivasa Classic, Bellandur, Bengaluru, Karnataka. Pin-560103 (India)",69,1.69,MEDIUM
725,"Jama Masjid Main Road, Ballapurpete, Nagartapete, Bengaluru, Karnataka. Pin-560002 (India)",69,1.69,MEDIUM
726,"Hosur Road, Narasimha Reddy Layout, Garvebhavi Palya, Bengaluru, Karnataka. Pin-560068 (India)",69,1.69,MEDIUM
727,"ITPL Main Road, Maruti Platinum, AECS Layout, Kundalhalli, Bengaluru, Karnataka. Pin-560037 (India)",69,1.69,MEDIUM
728,"Marathahalli Underpass U Turn, Marathahalli, Bengaluru, Karnataka. Pin-560037 (India)",69,1.69,MEDIUM
729,"13th Main Road, Thulasi Thottam, Vasant Nagar, Bengaluru, Karnataka. Pin-560001 (India)",69,1.69,MEDIUM
730,"Triveni Road, Yeshwanthapura Circle, Yeshwanthpur, Bengaluru, Karnataka. Pin-560022 (India)",69,1.69,MEDIUM
731,"Rustam Bagh Main Road, Manipal Hospital Junction, Kodihalli, Bengaluru, Karnataka. Pin-560008 (India)",69,1.69,MEDIUM
732,"Bugle Rock Road, Shopper Junction, Basavanagudi, Bengaluru, Karnataka. Pin-560004 (India)",69,1.69,MEDIUM
733,"Police Road, Old Tharagupete, Chickpete, Bengaluru, Karnataka. Pin-560002 (India)",69,1.69,MEDIUM
734,"SM Road, Jalahalli Cross Junction, Peenya, Bengaluru, Karnataka. Pin-560058 (India)",68,1.66,MEDIUM
735,"SGR Dental College Road, Sharadamma Layout, Munnekolala, Bengaluru, Karnataka. Pin-560037 (India)",68,1.66,MEDIUM
736,"C Chowdappa Main Road, Sri Kodanda Rama Swamy Circle, Padarayanapura, Bengaluru, Karnataka. Pin-560026 (India)",68,1.66,MEDIUM
737,"Srinivagilu Main Road, Maharaja Junction, Koramangala, Bengaluru, Karnataka. Pin-560034 (India)",68,1.66,MEDIUM
738,"3rd Main Road, Bashyam Circle, Sadashiva Nagar, Bengaluru, Karnataka. Pin-560080 (India)",68,1.66,MEDIUM
739,"Central Street, Prestige Saleh Ahmed, Tasker Town, Shivaji Nagar, Bengaluru, Karnataka. Pin-560001 (India)",67,1.64,MEDIUM
740,"50th Cross Road, Block 3, Rajaji Nagar, Bengaluru, Karnataka. Pin-560010 (India)",67,1.64,MEDIUM
741,"Narayana Pillai Street, Quadrant Square, Shivaji Nagar, Bengaluru, Karnataka. Pin-560051 (India)",67,1.64,MEDIUM
742,"MBT Road, Avalahalli South Taluka, Bengaluru, Karnataka. Pin-560049 (India)",67,1.64,MEDIUM
743,"16th Cross Road, Ranganathapura, Malleshwaram, Bengaluru, Karnataka. Pin-560003 (India)",67,1.64,MEDIUM
744,"Major T Ramachandrappa Road, Upparpet Junction, Gandhi Nagar, Bengaluru, Karnataka. Pin-560009 (India)",67,1.64,MEDIUM
745,"20th Main Road, Block 8, Koramangala, Bengaluru, Karnataka. Pin-560095 (India)",67,1.64,MEDIUM
746,"Gnana Bharathi Road, Kendra Upadhyayara Sangha, Nagarbhavi, Bengaluru, Karnataka. Pin-560072 (India)",67,1.64,MEDIUM
747,"Chikka Begur Main Road, Polisappa Layout, Singasandra, Bengaluru, Karnataka. Pin-560068 (India)",67,1.64,MEDIUM
748,"Hosur Road, Wilson Manor Apartment, Jayanagar East, Bengaluru, Karnataka. Pin-560011 (India)",67,1.64,MEDIUM
749,"HAL Airport Road, Miraya Rose, Siddapura, Bengaluru, Karnataka. Pin-560066 (India)",67,1.64,MEDIUM
750,"80 Feet Ring Road, Sri Jagadguru Renukacharya Circle, Rajaji Nagar, Bengaluru, Karnataka. Pin-560010 (India)",66,1.61,MEDIUM
751,"KIADB Road, Krishna Gowda Layout, T Dasarahalli, Bengaluru, Karnataka. Pin-560057 (India)",66,1.61,MEDIUM
752,"Sri Venkataranga Ayangar Road, Malleshwaram Circle, Malleshwaram, Bengaluru, Karnataka. Pin-560003 (India)",66,1.61,MEDIUM
753,"Housur Main Road, Ramaiah Reddy Layout, Singasandra, Bengaluru, Karnataka. Pin-560068 (India)",66,1.61,MEDIUM
754,"4th Cross Road, Brigade Opus, Hebbal, Bengaluru, Karnataka. Pin-560092 (India)",66,1.61,MEDIUM
755,"11th Main Road, Block 4, Jayanagar, Bengaluru, Karnataka. Pin-560011 (India)",66,1.61,MEDIUM
756,"Sarjapura Main Road, Jain Heights, Kaikondrahalli, Bengaluru, Karnataka. Pin-560035 (India)",66,1.61,MEDIUM
757,"Parappana Agrahara Main Road, Channakeshava Nagar, Singasandra, Bengaluru, Karnataka. Pin-560100 (India)",65,1.59,MEDIUM
758,"Hosahalli Main Road, Umar Farooq Nagar, Padarayanapura, Bengaluru, Karnataka. Pin-560018 (India)",65,1.59,MEDIUM
759,"Lady Curzon Road, Prestige Central, Shivaji Nagar, Bengaluru, Karnataka. Pin-560001 (India)",65,1.59,MEDIUM
760,"20th Main Road, Oscar Orchards, Sahakara Nagar, Bengaluru, Karnataka. Pin-560092 (India)",65,1.59,MEDIUM
761,"10th Main Road, Block 3, Rajaji Nagar, Bengaluru, Karnataka. Pin-560010 (India)",65,1.59,MEDIUM
762,"1st Cross Road, Srinivas Industrial Estate, BTM Layout Stage 2, Bengaluru, Karnataka. Pin-560076 (India)",65,1.59,MEDIUM
763,"Hosahalli Main Road, Block 6, Padarayanapura, Bengaluru, Karnataka. Pin-560026 (India)",65,1.59,MEDIUM
764,"Rathana Vilas Road, Babasahebara Palya, Basavanagudi, Bengaluru, Karnataka. Pin-560004 (India)",65,1.59,MEDIUM
765,"80 Feet Ring Road, Block K, Rajaji Nagar, Bengaluru, Karnataka. Pin-560010 (India)",65,1.59,MEDIUM
766,"ITPL Main Road, Kundanahalli Gate Junction, Kundalhalli, Bengaluru, Karnataka. Pin-560037 (India)",64,1.56,MEDIUM
767,"Doddakannelli Road, Mayfair Anthem, Bhoganahalli, Bengaluru, Karnataka. Pin-560103 (India)",64,1.56,MEDIUM
768,"8th Main Road, Sri Vasavi Garden, Mahalakshmi Layout, Bengaluru, Karnataka. Pin-560086 (India)",64,1.56,MEDIUM
769,"Field Marshal KM Cariappa Road, Brigade Road Junction, Ashok Nagar, Bengaluru, Karnataka. Pin-560025 (India)",64,1.56,MEDIUM
770,"Old Madras Road, Ramaiah Circle, Halasuru, Bengaluru, Karnataka. Pin-560007 (India)",64,1.56,MEDIUM
771,"17th Cross Road, Nethravathi Government Quarters, MRCR Layout, Vijaya Nagar, Bengaluru, Karnataka. Pin-560040 (India)",64,1.56,MEDIUM
772,"Whitefield Road, Hoodi, Bengaluru East City Corporation, Bengaluru, Bangalore East, Bengaluru Urban, Karnataka, 560048, India",64,1.56,MEDIUM
773,"Nagarabhavi Main Road, Nagarabavi Circle, Chandra Layout Stage 1, Bengaluru, Karnataka. Pin-560072 (India)",64,1.56,MEDIUM
774,"1st Main Road, Star Circle, Rajaji Nagar, Bengaluru, Karnataka. Pin-560010 (India)",64,1.56,MEDIUM
775,"Panathur Main Road, Subbanna Apartment, Varthur Hobli, Panathur, Bengaluru, Karnataka. Pin-560087 (India)",64,1.56,MEDIUM
776,"GP Rajarathnam Road, Ranganathapura, Malleshwaram, Bengaluru, Karnataka. Pin-560003 (India)",63,1.54,MEDIUM
777,"Church Street, Cauvery Junction, Shanthala Nagar, Bengaluru, Karnataka. Pin-560001 (India)",63,1.54,MEDIUM
778,"B Srinivasa Lane, Chanda Nagar, Sultanpete, Bengaluru, Karnataka. Pin-560053 (India)",63,1.54,MEDIUM
779,"1st Cross Road, CSI Compound, Kalasipalyam, Bengaluru, Karnataka. Pin-560027 (India)",63,1.54,MEDIUM
780,"Bhadrappa Flyover, Muniyappa Layout, Nagashetty Halli, RMV Stage 2, Bengaluru, Karnataka. Pin-560094 (India)",63,1.54,MEDIUM
781,"7th Main Road, Vijaya Nagar, Bengaluru, Karnataka. Pin-560040 (India)",63,1.54,MEDIUM
782,"Bannerghatta Main Road, Sarakki Industrial Layout, JP Nagar Phase 3, Bengaluru, Karnataka. Pin-560078 (India)",63,1.54,MEDIUM
783,"Hosur Road, Sattva Texonic, Bommasandra Industrial Area, Bommasandra, Bengaluru, Karnataka. Pin-560099 (India)",63,1.54,MEDIUM
